0,count_sort,0
0,radix_sort,0
0,bubble_sort,0
20000,count_sort,757
20000,radix_sort,9
20000,bubble_sort,4456
40000,count_sort,727
40000,radix_sort,18
40000,bubble_sort,17267
60000,count_sort,712
60000,radix_sort,29
60000,bubble_sort,38400
80000,count_sort,716
80000,radix_sort,39
80000,bubble_sort,68354
100000,count_sort,723
100000,radix_sort,49
100000,bubble_sort,106685
300000,count_sort,751
300000,radix_sort,138
300000,bubble_sort,0
600000,count_sort,804
600000,radix_sort,273
600000,bubble_sort,0
800000,count_sort,841
800000,radix_sort,360
800000,bubble_sort,0
1000000,count_sort,877
1000000,radix_sort,452
1000000,bubble_sort,0
